Feature,Importance
Sales_RollingMean_28,0.18319149174991708
Sales_RollingMean_7,0.18197755770453952
Sales_Lag_7,0.14148330030571044
Sales_Lag_14,0.10930014499223441
Size,0.087191690410515
Size_Normalized,0.08264696039347516
Sales_Lag_28,0.050597997994861185
Sales_RollingStd_7,0.03751976908412499
Sales_RollingStd_28,0.01970769291264284
Type,0.01932776201606282
Week,0.014011908597868038
Month,0.007529587280607719
Week_Cos,0.0063817487971940985
Days_Since_Start,0.005988190861383658
CPI,0.00595694416410972
Week_Number,0.005503851157912239
Unemployment,0.004140628725541734
Week_Sin,0.004030266452807248
MarkDown3,0.003846479341710748
Month_Cos,0.0037563927550022325
Temperature,0.0031837717277486592
WeekOfMonth,0.0030586265963379274
MarkDown5,0.0027614564183809226
Is_PreHoliday,0.0025741624366582053
Fuel_Price,0.002406934587260454
MarkDown_Total,0.0023640363988667043
Quarter,0.001862568847787883
Holiday_Month,0.0016570760209767815
MarkDown4,0.0015445719031461581
Month_Sin,0.0013348141285445445
MarkDown1,0.00132538844287684
MarkDown2,0.0006302202839627815
IsHoliday,0.0006170169108625801
Year,0.000532138550401805
Has_MarkDown,5.6851047966804534e-05
DayOfWeek,0.0
