Store,Date,Type,y_true,SPLH,IPLH,Hours_Actual_Variable,Hours_Actual_Baseline,Hours_Actual
1,2012-09-07,A,1661767.33,200.0,50.0,8308.836650000001,56.0,8364.836650000001
1,2012-09-14,A,1517428.87,200.0,50.0,7587.1443500000005,56.0,7643.1443500000005
1,2012-09-21,A,1506126.06,200.0,50.0,7530.630300000001,56.0,7586.630300000001
1,2012-09-28,A,1437059.26,200.0,50.0,7185.2963,56.0,7241.2963
1,2012-10-05,A,1670785.97,200.0,50.0,8353.92985,56.0,8409.92985
1,2012-10-12,A,1573072.81,200.0,50.0,7865.36405,56.0,7921.36405
1,2012-10-19,A,1508068.77,200.0,50.0,7540.34385,56.0,7596.34385
1,2012-10-26,A,1493659.74,200.0,50.0,7468.2987,56.0,7524.2987
2,2012-09-07,A,1898777.07,200.0,50.0,9493.88535,56.0,9549.88535
2,2012-09-14,A,1814806.63,200.0,50.0,9074.03315,56.0,9130.03315
2,2012-09-21,A,1829415.67,200.0,50.0,9147.07835,56.0,9203.07835
2,2012-09-28,A,1746470.56,200.0,50.0,8732.3528,56.0,8788.3528
2,2012-10-05,A,1998321.04,200.0,50.0,9991.6052,56.0,10047.6052
2,2012-10-12,A,1900745.13,200.0,50.0,9503.72565,56.0,9559.72565
2,2012-10-19,A,1847990.41,200.0,50.0,9239.95205,56.0,9295.95205
2,2012-10-26,A,1834458.35,200.0,50.0,9172.29175,56.0,9228.29175
3,2012-09-07,B,408229.73,180.0,45.0,2267.9429444444445,56.0,2323.9429444444445
3,2012-09-14,B,407589.16,180.0,45.0,2264.384222222222,56.0,2320.384222222222
3,2012-09-21,B,414392.09,180.0,45.0,2302.178277777778,56.0,2358.178277777778
3,2012-09-28,B,389813.02,180.0,45.0,2165.627888888889,56.0,2221.627888888889
3,2012-10-05,B,443557.65,180.0,45.0,2464.209166666667,56.0,2520.209166666667
3,2012-10-12,B,410804.39,180.0,45.0,2282.246611111111,56.0,2338.246611111111
3,2012-10-19,B,424513.08,180.0,45.0,2358.406,56.0,2414.406
3,2012-10-26,B,405432.7,180.0,45.0,2252.403888888889,56.0,2308.403888888889
4,2012-09-07,A,2125104.72,200.0,50.0,10625.5236,56.0,10681.5236
4,2012-09-14,A,2117854.6,200.0,50.0,10589.273000000001,56.0,10645.273000000001
4,2012-09-21,A,2119438.5300000003,200.0,50.0,10597.19265,56.0,10653.19265
4,2012-09-28,A,2027620.23,200.0,50.0,10138.10115,56.0,10194.10115
4,2012-10-05,A,2209835.43,200.0,50.0,11049.177150000001,56.0,11105.177150000001
4,2012-10-12,A,2133026.07,200.0,50.0,10665.13035,56.0,10721.13035
4,2012-10-19,A,2097266.85,200.0,50.0,10486.33425,56.0,10542.33425
4,2012-10-26,A,2149594.46,200.0,50.0,10747.9723,56.0,10803.9723
5,2012-09-07,B,350648.91,180.0,45.0,1948.0494999999999,56.0,2004.0494999999999
