Date,Store,total_units,total_sales,hours_total,productivity_units,productivity_sales
2010-02-05,1,73,1643690.9,9.46,7.716701902748413,173751.68076109933
2010-02-12,1,72,1641957.44,9.44,7.627118644067797,173936.16949152542
2010-02-19,1,73,1611968.17,9.46,7.716701902748413,170398.32663847777
2010-02-26,1,72,1409727.59,9.44,7.627118644067797,149335.5497881356
2010-03-05,1,73,1554806.68,9.46,7.716701902748413,164355.8858350951
2010-03-12,1,73,1439541.59,9.46,7.716701902748413,152171.4154334038
2010-03-19,1,72,1472515.79,9.44,7.627118644067797,155986.84216101698
2010-03-26,1,72,1404429.92,9.44,7.627118644067797,148774.35593220338
2010-04-02,1,72,1594968.28,9.44,7.627118644067797,168958.50423728814
2010-04-09,1,73,1545418.53,9.46,7.716701902748413,163363.48097251586
2010-04-16,1,73,1466058.28,9.46,7.716701902748413,154974.44820295981
2010-04-23,1,72,1391256.12,9.44,7.627118644067797,147378.82627118647
2010-04-30,1,71,1425100.71,9.42,7.537154989384288,151284.57643312102
2010-05-07,1,72,1603955.12,9.44,7.627118644067797,169910.50000000003
2010-05-14,1,72,1494251.5,9.44,7.627118644067797,158289.35381355934
2010-05-21,1,70,1399662.07,9.4,7.446808510638298,148900.22021276597
2010-05-28,1,70,1432069.95,9.4,7.446808510638298,152347.8670212766
2010-06-04,1,71,1615524.71,9.42,7.537154989384288,171499.43842887474
2010-06-11,1,71,1542561.09,9.42,7.537154989384288,163753.8312101911
2010-06-18,1,69,1503284.06,9.38,7.356076759061833,160264.8251599147
2010-06-25,1,69,1422711.6,9.38,7.356076759061833,151675.0106609808
2010-07-02,1,73,1492418.14,9.46,7.716701902748413,157760.90274841434
2010-07-09,1,71,1546074.18,9.42,7.537154989384288,164126.77070063693
2010-07-16,1,70,1448938.92,9.4,7.446808510638298,154142.43829787232
2010-07-23,1,72,1385065.2,9.44,7.627118644067797,146723.0084745763
2010-07-30,1,72,1371986.6,9.44,7.627118644067797,145337.56355932206
2010-08-06,1,70,1605491.78,9.4,7.446808510638298,170796.99787234043
2010-08-13,1,71,1508237.76,9.42,7.537154989384288,160110.16560509554
2010-08-20,1,72,1513080.49,9.44,7.627118644067797,160283.9502118644
2010-08-27,1,70,1449142.92,9.4,7.446808510638298,154164.1404255319
2010-09-03,1,72,1540163.53,9.44,7.627118644067797,163152.91631355934
2010-09-10,1,72,1507460.69,9.44,7.627118644067797,159688.63241525425
2010-09-17,1,72,1430378.67,9.44,7.627118644067797,151523.16419491524
2010-09-24,1,71,1351791.03,9.42,7.537154989384288,143502.23248407643
2010-10-01,1,73,1453329.5,9.46,7.716701902748413,153628.911205074
2010-10-08,1,73,1508239.93,9.46,7.716701902748413,159433.39640591963
2010-10-15,1,73,1459409.1,9.46,7.716701902748413,154271.5750528541
2010-10-22,1,73,1345454.0,9.46,7.716701902748413,142225.58139534883
2010-10-29,1,72,1384209.22,9.44,7.627118644067797,146632.33262711865
2010-11-05,1,72,1551659.28,9.44,7.627118644067797,164370.68644067796
2010-11-12,1,73,1494479.49,9.46,7.716701902748413,157978.80443974628
2010-11-19,1,72,1483784.18,9.44,7.627118644067797,157180.52754237287
2010-11-26,1,72,1955624.11,9.44,7.627118644067797,207163.5709745763
2010-12-03,1,71,1548033.78,9.42,7.537154989384288,164334.79617834397
2010-12-10,1,71,1682614.26,9.42,7.537154989384288,178621.47133757963
2010-12-17,1,72,1891034.93,9.44,7.627118644067797,200321.4968220339
2010-12-24,1,72,2387950.2,9.44,7.627118644067797,252960.82627118647
2010-12-31,1,71,1367320.01,9.42,7.537154989384288,145150.7441613588
2011-01-07,1,72,1444732.28,9.44,7.627118644067797,153043.67372881356
2011-01-14,1,71,1391013.96,9.42,7.537154989384288,147666.025477707
2011-01-21,1,72,1327405.42,9.44,7.627118644067797,140614.98093220338
2011-01-28,1,71,1316899.31,9.42,7.537154989384288,139798.22823779195
2011-02-04,1,71,1606629.58,9.42,7.537154989384288,170555.15711252656
2011-02-11,1,72,1649614.93,9.44,7.627118644067797,174747.34427966102
2011-02-18,1,72,1686842.78,9.44,7.627118644067797,178690.97245762713
2011-02-25,1,72,1456800.28,9.44,7.627118644067797,154322.06355932204
2011-03-04,1,73,1636263.41,9.46,7.716701902748413,172966.53382663845
2011-03-11,1,74,1553191.63,9.48,7.80590717299578,163838.77953586495
2011-03-18,1,72,1576818.06,9.44,7.627118644067797,167035.811440678
2011-03-25,1,71,1541102.38,9.42,7.537154989384288,163598.97876857748
